weather,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain(inches),Snow(inches)
312,Bulgan,MN,48.81,103.53,55.35,70,85,1.79,overcast clouds,0,0
313,Belaya Gora,RU,68.53,146.42,41.0,67,96,9.84,overcast clouds,0,0
314,Francisco Beltrao,BR,-26.08,-53.05,51.84,88,0,7.61,clear sky,0,0
315,Faanui,PF,-16.48,-151.75,77.02,79,6,18.54,clear sky,0,0
316,Uruzgan,AF,32.83,66.0,67.01,23,0,5.86,clear sky,0,0
317,Zverinogolovskoye,RU,54.46,64.85,49.51,95,0,4.68,clear sky,0,0
318,Teya,RU,60.38,92.63,57.61,71,8,1.63,clear sky,0,0
319,Fukuma,JP,33.77,130.47,91.0,66,20,6.93,few clouds,0,0
320,Nome,US,64.5,-165.41,55.4,76,90,10.29,overcast clouds,0,0
321,Mason City,US,43.15,-93.2,87.8,58,1,5.82,clear sky,0,0
322,Mount Gambier,AU,-37.83,140.77,48.2,76,75,8.05,broken clouds,0,0
323,Ust-Karsk,RU,52.7,118.81,55.9,91,100,4.18,light rain,0,0
